,nights_ARA,nights_NOR,nights_PDL,nights_HDF
2018-01-01,1930.9176598337538,361.2388073009843,396.53494654301124,540.4991661442309
2018-02-01,2306.786502928429,414.3341338093756,417.32880407353997,576.0390072968002
2018-03-01,2381.7720592803007,534.7858446744413,508.74957819212034,700.3048975087991
2018-04-01,1770.5884078683314,676.6133514585877,596.3564806530815,798.1407851504681
2018-05-01,1696.0568146340702,767.718428917611,649.8129874988097,844.0873191455603
2018-06-01,2011.9710640625005,807.2465340724281,758.5287287698202,884.8130058248134
2018-07-01,2533.2755411461117,901.9264972712238,801.118752354371,884.1375468069979
2018-08-01,2633.453301294674,1001.3676127915281,885.8536438158839,855.6155462149189
2018-09-01,1915.2358483161186,781.0259849839982,700.6449982732331,850.6688451377597
2018-10-01,1602.4629206923487,658.8839555676798,578.1207255312838,803.9091168638594
2018-11-01,1275.3704658235579,485.2837018967353,473.87826336500234,678.0273654063568
2018-12-01,1751.7720231327833,411.23974487044006,415.78654993805054,625.9332484158195
2019-01-01,2014.6216213941057,385.8717560945388,421.9687270330986,557.8112106099603
2019-02-01,2374.191051683199,433.6920442797118,437.9872120140345,588.954512014099
2019-03-01,2358.19836562143,527.5838196225751,504.9829062349242,684.5026523211781
2019-04-01,1781.5570612489896,686.7653834567441,607.1523812444723,793.3095885499304
2019-05-01,1749.9857858577652,784.5332570069542,672.4281903893523,846.1274633029244
2019-06-01,2089.006492683111,831.1812762257567,787.858892749037,880.5801406720959
2019-07-01,2607.855606507141,931.1838847997425,827.5757933547114,889.9441739245883
2019-08-01,2683.139319163987,1027.3402155747785,911.5480492759376,858.6603726042986
2019-09-01,1922.5855443029097,798.8480956828911,722.257801402695,859.5105335429483
2019-10-01,1608.3582474021591,679.5070670291253,598.8062482401742,807.7334053965101
2019-11-01,1309.9287095440377,507.64940675005533,493.84081548138687,675.5021542853638
2019-12-01,1809.358585446326,423.98491204891826,434.2300714932986,620.9826733630632
